id_venta,fecha,ciudad,canal,sku,producto,categoria_txt,unidades,precio_unitario,descuento,costo_unitario,metodo_pago,cliente_id,documento_cliente,id_factura,vendedor_id,estado
1,2025-04-13,Barranquilla,Online,SKU-507,Laptop,pantallas,5.0,1850276,0.16,$ 302.555,TC,1071,39104939,55125,223,pendiente
2,2025-12-15,medellin,TIENDA, SKU-946 ,Laptop,computo,1.0,2320457,0.32,$ 1.815.830,credit card,1047,34374819,50005,201,completada
3,2025-09-28,Cartagena,TIENDA,SKU-121,Monitor,accesorios,3.0,,11%,1693792,PSE,1061,41920786,58382,234,completada
4,2025-04-17, Bogota ,TIENDA,SKU-129,Teclado,pantallas,2.0,2183769,0.26,662302,credit card,1096,81740677,58339,227,completada
5,2025-03-13, Bogota ,Online,SKU-802,Headset,computo,1.0,661857,0.35,423177,tarjeta,1059,52659736,54353,218,completada
6,2025-08-07,Barranquilla,Distribuidor,SKU-359,Mouse,computo,5.0,1800248,2%,1478559,nequi,1079,30453640,53550,232,completada
7,2025-01-21, Bogota ,Distribuidor, SKU-304 ,Tablet,audio,1.0,1952360,0.33,$ 529.111,credit card,1004,26424403,58031,220,completada
8,2025-04-13, Bogota ,TIENDA,SKU-158,Headset,computo,5.0,$ 886.164,23%,$ 1.115.266,credit card,1079,10263369,54105,209,cancelada
9,2025-05-02,Barranquilla,Distribuidor,SKU-570,Mouse,pantallas,4.0,$ 1.150.070,0.24,$ 592.158,nequi,1006,36095524,59302,245,completada
10,2025-08-03,Barranquilla,TIENDA, SKU-875 ,Mouse,accesorios,5.0,$ 1.812.841,0.21,,TC,1050,33531674,55083,244,completada
11,2025-11-27,Cartagena,Online,SKU-565,Laptop,audio,5.0,$ 621.513,0.35,706495,nequi,1064,76206732,58816,208,completada
12,2025-03-29, Bogota ,Distribuidor,SKU-111,Mouse,computo,-1.0,2200019,0.02,$ 101.928,PSE,1008,95476223,52175,237,completada
13,2025-04-10, Bogota ,Online,SKU-730,Tablet,computo,3.0,$ 2.285.752,0.1,1585497,nequi,1081,59509873,59270,205,completada
14,2025-12-26,Cartagena,Distribuidor,SKU-389,Mouse,computo,5.0,$ 799.957,35%,749158,TC,1044,52714708,58737,241,completada
15,2025-01-06,CALI,Online, SKU-949 ,Monitor,pantallas,2.0,1933980,30%,610053,nequi,1046,22506080,55224,234,pendiente
16,2025-05-11,CALI,Distribuidor,SKU-859,Headset,audio,2.0,1527394,0.01,1349492,credit card,1066,95438231,51195,217,completada
17,2025-05-30,CALI,Online,SKU-453,Monitor,pantallas,1.0,274265,21%,1980425,tarjeta,1023,49676148,52069,218,completada
18,2025-11-05,Cartagena,Online, SKU-738 ,Tablet,audio,3.0,$ 539.493,0.21,820231,credit card,1091,60500907,53358,204,completada
19,2025-09-15, Bogota ,Distribuidor,SKU-174,Mouse,accesorios,1.0,$ 2.281.556,0.16,1437771,tarjeta,1009,79516641,52438,224,completada
20,2025-12-10,Cartagena,Online,SKU-972,Tablet,pantallas,2.0,,12%,$ 669.229,nequi,1072,53036168,58808,210,pendiente
21,2025-10-21,Cartagena,Online,SKU-815,Laptop,pantallas,2.0,2077017,0.27,1087131,PSE,1076,60530689,54244,209,completada
22,2025-07-11,CALI,Online,SKU-660,Monitor,accesorios,4.0,$ 673.817,0.08,1942160,nequi,1047,82559350,53343,216,completada
23,2025-10-04,medellin,Distribuidor, SKU-690 ,Monitor,audio,5.0,$ 1.016.433,0.32,1452939,TC,1034,93851677,51811,235,completada
24,2025-06-10, Bogota ,Distribuidor,SKU-540,Teclado,computo,2.0,2055286,0.32,1461053,nequi,1053,15997845,50171,225,cancelada
25,2025-10-11,CALI,Online,SKU-340,Mouse,accesorios,1.0,2381547,0.17,396977,tarjeta,1086,72189583,54142,230,cancelada
26,2025-01-22,medellin,Online,SKU-960,Laptop,computo,,1954116,11%,$ 870.434,credit card,1080,65104480,50625,231,completada
27,2025-09-10,medellin,Distribuidor,SKU-253,Monitor,computo,5.0,$ 702.387,0.11,323697,PSE,1070,30763968,55906,220,cancelada
28,2025-08-24,Barranquilla,Distribuidor,SKU-885,Monitor,accesorios,5.0,1165958,0.19,$ 1.328.808,nequi,1015,95719690,57983,217,completada
29,2025-11-12, Bogota ,Online,SKU-195,Laptop,audio,4.0,499767,0.29,$ 1.633.647,nequi,1052,55473093,54063,217,completada
30,2025-02-18,medellin,Online,SKU-825,Tablet,computo,3.0,29583,14%,540403,credit card,1039,56053730,58644,200,cancelada
31,2025-02-28,CALI,Online,SKU-393,Tablet,accesorios,1.0,594675,0.24,1002618,PSE,1099,82453355,59610,213,cancelada
32,2025-06-19,Barranquilla,TIENDA,SKU-308,Mouse,pantallas,5.0,1517850,15%,738486,nequi,1019,20019518,58142,207,completada
33,2025-07-07, Bogota ,Distribuidor,SKU-442,Teclado,pantallas,1.0,966803,0.12,$ 87.908,nequi,1087,74737892,50753,201,completada
34,2025-09-28,Cartagena,TIENDA, SKU-187 ,Monitor,pantallas,5.0,$ 2.115.598,1%,1656973,tarjeta,1068,81172491,56851,214,cancelada
35,2025-07-09,CALI,Distribuidor,SKU-917,Teclado,accesorios,2.0,1334861,0.0,$ 1.852.986,tarjeta,1044,69428285,55104,233,completada
36,2025-06-24,medellin,Distribuidor,SKU-875,Tablet,pantallas,1.0,698710,0.09,386087,TC,1005,12763357,57343,235,cancelada
37,2025-02-20,medellin,Distribuidor,SKU-489,Tablet,computo,2.0,$ 488.298,0.16,24422,credit card,1091,49488731,56926,200,completada
